benchmark, result, time
ttas-5.bpl, PASS, 1183
ttas-5-acq2rx.bpl, PASS, 1326
ttas-5-rel2rx.bpl, FAIL, 126
ticketlock-3.bpl, PASS, 1698
ticketlock-3-acq2rx.bpl, PASS, 1517
ticketlock-3-rel2rx.bpl, FAIL, 520
mutex-3.bpl, PASS, 1087
mutex-3-acq2rx-futex.bpl, PASS, 1087
mutex-3-acq2rx-lock.bpl, PASS, 1069
mutex-3-rel2rx-futex.bpl, PASS, 1058
mutex-3-rel2rx-unlock.bpl, FAIL, 137
spinlock-5.bpl, PASS, 770
spinlock-5-acq2rx.bpl, PASS, 825
spinlock-5-rel2rx.bpl, FAIL, 123
linuxrwlock-3.bpl, PASS, 522
linuxrwlock-3-acq2rx.bpl, FAIL, 101
linuxrwlock-3-rel2rx.bpl, FAIL, 379
mutex_musl-3.bpl, PASS, 29088
mutex_musl-3-acq2rx-futex.bpl, PASS, 28255
